event_id,start_time,end_time,duration_hours,mean_spread,max_spread,min_spread,direction,magnitude_avg,magnitude_max,month,year,hour
71,2022-02-06 06:00:00,2022-02-06 16:00:00,11,-95.63363636363637,165.0,49.19,FR > DE,95.63363636363637,165.0,2,2022,6
73,2022-02-06 18:00:00,2022-02-08 15:00:00,46,-94.61413043478261,178.11,29.620000000000005,FR > DE,94.61413043478261,178.11,2,2022,18
75,2022-02-08 18:00:00,2022-02-09 14:00:00,21,-64.66714285714286,93.39,30.44,FR > DE,64.66714285714286,93.39,2,2022,18
77,2022-02-10 19:00:00,2022-02-10 23:00:00,5,-37.14,47.72999999999999,33.08000000000001,FR > DE,37.14,47.72999999999999,2,2022,19
79,2022-02-11 09:00:00,2022-02-11 14:00:00,6,-77.49333333333333,101.94,52.5,FR > DE,77.49333333333333,101.94,2,2022,9
81,2022-02-12 07:00:00,2022-02-12 15:00:00,9,-70.41444444444444,89.36999999999999,44.870000000000005,FR > DE,70.41444444444444,89.36999999999999,2,2022,7
83,2022-02-12 19:00:00,2022-02-13 13:00:00,19,-87.29157894736842,118.12,45.68000000000001,FR > DE,87.29157894736842,118.12,2,2022,19
85,2022-02-13 18:00:00,2022-02-14 16:00:00,23,-82.90391304347825,136.67,31.81,FR > DE,82.90391304347825,136.67,2,2022,18
87,2022-02-14 19:00:00,2022-02-15 04:00:00,10,-74.45,103.46,38.99,FR > DE,74.45,103.46,2,2022,19
89,2022-02-15 18:00:00,2022-02-16 02:00:00,9,-73.36666666666667,115.41,31.22,FR > DE,73.36666666666667,115.41,2,2022,18
91,2022-02-16 12:00:00,2022-02-17 02:00:00,15,-48.83399999999999,77.46,30.51,FR > DE,48.83399999999999,77.46,2,2022,12
93,2022-02-17 08:00:00,2022-02-18 03:00:00,20,-84.312,111.73,44.36,FR > DE,84.312,111.73,2,2022,8
95,2022-02-18 13:00:00,2022-02-18 23:00:00,11,-50.156363636363636,76.32999999999998,28.590000000000003,FR > DE,50.156363636363636,76.32999999999998,2,2022,13
97,2022-02-19 02:00:00,2022-02-19 16:00:00,15,-101.70466666666667,167.94,61.05,FR > DE,101.70466666666667,167.94,2,2022,2
99,2022-02-19 18:00:00,2022-02-19 23:00:00,6,-49.35,57.52000000000001,30.39000000000001,FR > DE,49.35,57.52000000000001,2,2022,18
101,2022-02-20 13:00:00,2022-02-21 14:00:00,26,-75.14076923076924,132.85000000000002,29.05,FR > DE,75.14076923076924,132.85000000000002,2,2022,13
103,2022-02-21 16:00:00,2022-02-22 06:00:00,15,-71.45400000000001,87.58,38.14,FR > DE,71.45400000000001,87.58,2,2022,16
105,2022-02-22 10:00:00,2022-02-22 13:00:00,4,-44.8275,50.08000000000001,39.34,FR > DE,44.8275,50.08000000000001,2,2022,10
107,2022-02-22 19:00:00,2022-02-23 15:00:00,21,-79.37952380952382,96.76,52.42999999999999,FR > DE,79.37952380952382,96.76,2,2022,19
109,2022-02-23 22:00:00,2022-02-24 05:00:00,8,-48.809999999999995,69.63,37.72000000000001,FR > DE,48.809999999999995,69.63,2,2022,22
111,2022-02-24 08:00:00,2022-02-24 16:00:00,9,-76.50888888888889,96.44,50.76999999999998,FR > DE,76.50888888888889,96.44,2,2022,8
113,2022-02-24 18:00:00,2022-02-26 04:00:00,35,-112.844,187.26,39.610000000000014,FR > DE,112.844,187.26,2,2022,18
115,2022-02-27 10:00:00,2022-02-27 13:00:00,4,-44.642500000000005,69.52000000000001,31.980000000000015,FR > DE,44.642500000000005,69.52000000000001,2,2022,10
117,2022-02-27 20:00:00,2022-02-27 23:00:00,4,-39.955,47.69,27.69,FR > DE,39.955,47.69,2,2022,20
119,2022-02-28 01:00:00,2022-02-28 01:00:00,1,-28.72999999999999,28.72999999999999,28.72999999999999,FR > DE,28.72999999999999,28.72999999999999,2,2022,1
121,2022-02-28 10:00:00,2022-02-28 14:00:00,5,-84.52000000000001,94.63,75.75,FR > DE,84.52000000000001,94.63,2,2022,10
123,2022-02-28 19:00:00,2022-03-01 05:00:00,11,-84.50090909090908,134.15999999999997,33.31999999999999,FR > DE,84.50090909090908,134.15999999999997,2,2022,19
125,2022-03-01 09:00:00,2022-03-01 10:00:00,2,-81.35499999999999,85.68999999999997,77.02000000000001,FR > DE,81.35499999999999,85.68999999999997,3,2022,9
127,2022-03-03 10:00:00,2022-03-03 13:00:00,4,-48.11999999999999,63.21999999999997,32.03000000000003,FR > DE,48.11999999999999,63.21999999999997,3,2022,10
129,2022-03-04 12:00:00,2022-03-04 12:00:00,1,-33.01999999999998,33.01999999999998,33.01999999999998,FR > DE,33.01999999999998,33.01999999999998,3,2022,12
131,2022-03-05 09:00:00,2022-03-05 13:00:00,5,-47.54799999999999,65.63999999999999,36.75999999999999,FR > DE,47.54799999999999,65.63999999999999,3,2022,9
133,2022-03-06 09:00:00,2022-03-06 14:00:00,6,-85.52499999999999,180.35,30.52000000000001,FR > DE,85.52499999999999,180.35,3,2022,9
135,2022-03-07 10:00:00,2022-03-07 13:00:00,4,-60.5175,76.33000000000004,33.80000000000001,FR > DE,60.5175,76.33000000000004,3,2022,10
