"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|FR","Without Sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|FR","Without Sequence","40.01","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|FR","Without Sequence","39.30","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|FR","Without Sequence","40.79","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|FR","Without Sequence","47.91","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|FR","Without Sequence","65.09","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|FR","Without Sequence","67.85","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|FR","Without Sequence","62.22","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|FR","Without Sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|FR","Without Sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|FR","Without Sequence","46.29","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|FR","Without Sequence","2.71","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|FR","Without Sequence","1.71","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|FR","Without Sequence","1.24","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|FR","Without Sequence","0.06","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|FR","Without Sequence","0.09","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|FR","Without Sequence","1.44","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|FR","Without Sequence","41.11","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|FR","Without Sequence","90.54","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|FR","Without Sequence","161.79","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|FR","Without Sequence","180.36","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|FR","Without Sequence","125.03","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|FR","Without Sequence","100.74","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|FR","Without Sequence","96.39","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|FR","Without Sequence","95.22","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|FR","Without Sequence","102.67","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|FR","Without Sequence","112.87","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|FR","Without Sequence","126.80","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|FR","Without Sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|FR","Without Sequence","175.06","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|FR","Without Sequence","180.00","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|FR","Without Sequence","146.43","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|FR","Without Sequence","105.71","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|FR","Without Sequence","114.11","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|FR","Without Sequence","114.11","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|FR","Without Sequence","125.47","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|FR","Without Sequence","115.55","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|FR","Without Sequence","113.29","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|FR","Without Sequence","105.81","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|FR","Without Sequence","105.00","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|FR","Without Sequence","115.11","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|FR","Without Sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|FR","Without Sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|FR","Without Sequence","178.91","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|FR","Without Sequence","190.00","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|FR","Without Sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|FR","Without Sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|FR","Without Sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|FR","Without Sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|FR","Without Sequence","179.00","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|FR","Without Sequence","180.93","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|FR","Without Sequence","166.69","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|FR","Without Sequence","189.88","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|FR","Without Sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|FR","Without Sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|FR","Without Sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|FR","Without Sequence","148.65","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|FR","Without Sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|FR","Without Sequence","137.92","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|FR","Without Sequence","120.11","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|FR","Without Sequence","105.10","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|FR","Without Sequence","84.50","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|FR","Without Sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|FR","Without Sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|FR","Without Sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|FR","Without Sequence","169.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|FR","Without Sequence","215.98","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|FR","Without Sequence","211.13","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|FR","Without Sequence","226.52","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|FR","Without Sequence","224.45","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|FR","Without Sequence","202.80","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|FR","Without Sequence","205.00","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|FR","Without Sequence","197.34","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|FR","Without Sequence","195.60","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|FR","Without Sequence","200.00","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|FR","Without Sequence","206.07","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|FR","Without Sequence","242.10","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|FR","Without Sequence","265.00","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|FR","Without Sequence","265.00","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|FR","Without Sequence","241.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|FR","Without Sequence","218.95","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|FR","Without Sequence","207.46","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|FR","Without Sequence","207.46","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|FR","Without Sequence","207.15","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|FR","Without Sequence","204.22","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|FR","Without Sequence","191.82","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|FR","Without Sequence","180.70","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|FR","Without Sequence","170.10","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|FR","Without Sequence","194.38","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|FR","Without Sequence","204.22","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|FR","Without Sequence","228.25","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|FR","Without Sequence","240.98","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|FR","Without Sequence","257.44","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|FR","Without Sequence","245.24","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|FR","Without Sequence","231.90","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|FR","Without Sequence","226.00","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|FR","Without Sequence","209.20","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|FR","Without Sequence","216.06","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|FR","Without Sequence","230.77","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|FR","Without Sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|FR","Without Sequence","274.11","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|FR","Without Sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|FR","Without Sequence","278.36","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|FR","Without Sequence","251.71","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|FR","Without Sequence","229.96","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|FR","Without Sequence","216.44","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|FR","Without Sequence","216.44","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|FR","Without Sequence","213.47","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|FR","Without Sequence","189.00","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|FR","Without Sequence","180.00","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|FR","Without Sequence","164.90","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|FR","Without Sequence","162.80","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|FR","Without Sequence","165.00","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|FR","Without Sequence","165.20","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|FR","Without Sequence","215.89","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|FR","Without Sequence","254.19","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|FR","Without Sequence","257.24","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|FR","Without Sequence","254.18","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|FR","Without Sequence","241.22","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|FR","Without Sequence","240.20","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|FR","Without Sequence","212.69","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|FR","Without Sequence","207.05","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|FR","Without Sequence","210.11","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|FR","Without Sequence","220.21","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|FR","Without Sequence","243.84","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|FR","Without Sequence","260.00","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|FR","Without Sequence","250.00","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|FR","Without Sequence","239.09","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|FR","Without Sequence","213.81","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|FR","Without Sequence","216.13","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|FR","Without Sequence","216.13","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|FR","Without Sequence","184.96","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|FR","Without Sequence","162.79","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|FR","Without Sequence","166.00","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|FR","Without Sequence","161.63","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|FR","Without Sequence","160.00","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|FR","Without Sequence","154.30","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|FR","Without Sequence","166.00","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|FR","Without Sequence","182.91","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|FR","Without Sequence","215.89","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|FR","Without Sequence","231.00","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|FR","Without Sequence","228.95","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|FR","Without Sequence","215.39","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|FR","Without Sequence","206.68","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|FR","Without Sequence","185.00","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|FR","Without Sequence","169.52","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|FR","Without Sequence","162.80","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|FR","Without Sequence","161.73","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|FR","Without Sequence","189.90","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|FR","Without Sequence","189.16","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|FR","Without Sequence","185.53","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|FR","Without Sequence","159.47","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|FR","Without Sequence","126.09","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|FR","Without Sequence","123.73","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|FR","Without Sequence","123.73","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|FR","Without Sequence","109.18","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|FR","Without Sequence","89.61","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|FR","Without Sequence","80.24","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|FR","Without Sequence","55.46","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|FR","Without Sequence","45.82","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|FR","Without Sequence","48.50","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|FR","Without Sequence","74.29","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|FR","Without Sequence","89.78","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|FR","Without Sequence","104.79","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|FR","Without Sequence","147.36","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|FR","Without Sequence","149.48","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|FR","Without Sequence","157.71","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|FR","Without Sequence","167.63","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|FR","Without Sequence","165.06","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|FR","Without Sequence","170.09","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|FR","Without Sequence","189.04","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|FR","Without Sequence","190.96","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|FR","Without Sequence","223.30","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|FR","Without Sequence","243.94","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|FR","Without Sequence","240.00","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|FR","Without Sequence","230.82","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|FR","Without Sequence","214.02","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|FR","Without Sequence","215.88","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|FR","Without Sequence","215.88","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|FR","Without Sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|FR","Without Sequence","191.85","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|FR","Without Sequence","195.91","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|FR","Without Sequence","186.66","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|FR","Without Sequence","178.04","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|FR","Without Sequence","191.65","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|FR","Without Sequence","237.44","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|FR","Without Sequence","299.95","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|FR","Without Sequence","313.92","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|FR","Without Sequence","315.00","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|FR","Without Sequence","310.41","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|FR","Without Sequence","310.08","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|FR","Without Sequence","300.00","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|FR","Without Sequence","297.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|FR","Without Sequence","299.96","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|FR","Without Sequence","302.73","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|FR","Without Sequence","297.97","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|FR","Without Sequence","313.79","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|FR","Without Sequence","310.82","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|FR","Without Sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|FR","Without Sequence","267.45","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|FR","Without Sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|FR","Without Sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|FR","Without Sequence","217.03","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|FR","Without Sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|FR","Without Sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|FR","Without Sequence","197.60","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|FR","Without Sequence","193.00","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|FR","Without Sequence","194.90","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|FR","Without Sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|FR","Without Sequence","230.92","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|FR","Without Sequence","286.61","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|FR","Without Sequence","300.02","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|FR","Without Sequence","297.16","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|FR","Without Sequence","277.02","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|FR","Without Sequence","261.69","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|FR","Without Sequence","249.44","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|FR","Without Sequence","247.70","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|FR","Without Sequence","255.01","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|FR","Without Sequence","277.90","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|FR","Without Sequence","289.94","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|FR","Without Sequence","316.40","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|FR","Without Sequence","315.90","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|FR","Without Sequence","309.20","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|FR","Without Sequence","285.33","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|FR","Without Sequence","245.00","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|FR","Without Sequence","235.22","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|FR","Without Sequence","235.22","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|FR","Without Sequence","196.65","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|FR","Without Sequence","187.10","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|FR","Without Sequence","184.27","",""
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","BZN|FR","Without Sequence","179.58","",""
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","BZN|FR","Without Sequence","178.33","",""
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","BZN|FR","Without Sequence","193.50","",""
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","BZN|FR","Without Sequence","236.76","",""
"12/01/2022 07:00:00 - 12/01/2022 08:00:00","BZN|FR","Without Sequence","273.18","",""
"12/01/2022 08:00:00 - 12/01/2022 09:00:00","BZN|FR","Without Sequence","300.10","",""
"12/01/2022 09:00:00 - 12/01/2022 10:00:00","BZN|FR","Without Sequence","292.74","",""
"12/01/2022 10:00:00 - 12/01/2022 11:00:00","BZN|FR","Without Sequence","275.50","",""
"12/01/2022 11:00:00 - 12/01/2022 12:00:00","BZN|FR","Without Sequence","258.65","",""
"12/01/2022 12:00:00 - 12/01/2022 13:00:00","BZN|FR","Without Sequence","245.11","",""
